ITEM,MONTH,NSW,VIC,QLD,SA,WA,TAS,ACT,NT,TOTAL
23,Jul-93,2297810,1417738,1043903,535509,543593,149059,95964,24577,6108153
23,Aug-93,2242964,1504748,1084958,533704,509748,160961,93860,28574,6159517
23,Sep-93,2215614,1488788,1084071,527546,495113,148982,93776,28731,6082621
23,Oct-93,1907884,1380730,972756,421429,447120,142042,78242,23569,5373772
23,Nov-93,2216064,1351176,1019770,482263,487550,144343,88992,27992,5818150
23,Dec-93,1868173,1347016,936319,418508,430530,129462,79600,26935,5236543
23,Jan-94,1878870,1268915,986986,444606,430769,127204,78037,25642,5241029
23,Feb-94,1861243,1267994,993319,413042,481361,122626,78973,26786,5245344
23,Mar-94,2181696,1460232,1149670,547919,420055,155247,89351,30927,6035097
23,Apr-94,1918647,1255089,965105,416243,519676,130112,83657,25254,5313783
23,May-94,2324445,1484484,1129505,492567,567954,159855,97391,29620,6285821
23,Jun-94,2115321,1646404,1100317,556531,493081,142080,89831,26356,6169921
23,Jul-94,2094829,1407340,1190512,496389,530163,141992,89926,27255,5978406
23,Aug-94,2672253,1649563,1245339,545668,592903,187825,110238,34400,7038189
23,Sep-94,2276097,1569426,1139737,521163,558530,151795,96844,29963,6343555
23,Oct-94,1956471,1328399,977603,465430,481267,143779,82778,28100,5463827
23,Nov-94,2141112,1464258,1127112,538696,535270,147947,86105,29912,6070412
23,Dec-94,1787961,1313960,948483,419946,433720,120284,75846,27992,5128192
23,Jan-95,2121202,1357356,1041199,447218,514056,144317,83665,30343,5739356
23,Feb-95,1959907,1202462,1003807,441233,476448,124418,79654,29862,5317791
23,Mar-95,2034322,1461664,1119247,511522,483134,154931,87679,33874,5886373
23,Apr-95,1955436,1268869,950875,424906,412311,124039,78020,30617,5245073
23,May-95,2521420,1686492,1186800,511395,546526,172737,105689,33885,6764944
23,Jun-95,2341835,1727983,1112216,543702,517672,153871,97127,30511,6524917
23,Jul-95,2280851,1490721,1085624,502935,586335,171404,90306,30492,6238668
23,Aug-95,2937508,1735135,1519180,571366,614432,180258,111607,36863,7706349
23,Sep-95,2441404,1568873,1125570,587844,582495,161902,102191,35518,6605797
23,Oct-95,2111037,1772968,1133017,522013,606450,154502,83925,33094,6417006
23,Nov-95,2067139,1448537,1000624,510270,504545,169235,89547,34914,5824811
23,Dec-95,1955846,1330050,1016461,428334,400290,123250,86916,30803,5371950
23,Jan-96,2287987,1423610,1160084,509581,546998,151911,88502,36206,6204879
23,Feb-96,2079636,1369213,1066057,454620,465558,129727,80921,31079,5676811
23,Mar-96,2135605,1460861,997607,468533,500256,144221,82826,33084,5822993
23,Apr-96,2116083,1435729,1146755,465385,557408,148181,85468,31529,5986538
23,May-96,2670246,1697931,1264998,588953,633426,179018,113718,38172,7186462
23,Jun-96,2074901,1567846,1022567,474401,489488,139608,88500,29248,5886559
23,Jul-96,2363865,1734474,1356394,568508,633337,178571,98896,32639,6966684
23,Aug-96,2437496,1696307,1199219,535112,594028,168073,104388,33170,6767793
23,Sep-96,2343197,1596607,1268050,533983,510309,160955,95672,33276,6542049
23,Oct-96,2279409,1611790,1151258,520152,586089,154676,94893,34449,6432716
23,Nov-96,2232467,1453119,1146816,506089,575839,150200,97428,33766,6195724
23,Dec-96,1770248,1372038,957702,476601,456711,138484,77283,31433,5280500
23,Jan-97,2228291,1538492,1141573,508312,529879,152039,87648,33527,6219761
23,Feb-97,1889845,1232905,1057010,430011,461131,125755,78621,30591,5305869
23,Mar-97,1986172,1308282,1009991,468925,472965,124799,82027,33820,5486981
23,Apr-97,2395397,1650947,1174503,527491,552309,160186,99597,34505,6594935
23,May-97,2369117,1615202,1131805,496252,588932,164661,100751,32094,6498814
23,Jun-97,2168490,1561069,1114398,499304,522799,154035,91631,30684,6142410
23,Jul-97,2691615,1781463,1250167,582626,598744,172503,114639,34967,7226724
23,Aug-97,2458709,1643997,1240730,578216,651196,163319,112428,34258,6882853
23,Sep-97,2456660,1582548,1302155,564519,588847,160605,101120,35134,6791588
23,Oct-97,2149110,1565537,1184880,523055,594008,152516,92608,34064,6295778
23,Nov-97,2151046,1414076,1062006,501949,501614,141776,86384,35477,5894328
23,Dec-97,1794282,1360230,1079207,472063,511287,133768,75664,31185,5457686
23,Jan-98,2128685,1398491,1105953,453003,459131,133662,82296,30674,5791895
23,Feb-98,2042373,1286648,1109488,404815,507656,126884,80387,27113,5585364
23,Mar-98,2255176,1479448,1222898,542046,502722,147242,89856,35969,6275357
